Title,Year,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID,merge_title,Winner,_merge,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Science_Fiction,Genre_TV_Movie,Genre_Thriller,Genre_War,Genre_Western,Nominee
Bumblebee,2018,6.718,6431,135000000,467989645,424783,bumblebee,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Burnt,2015,6.5,3471,20000000,36606743,295964,burnt,0,left_only,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Call Me by Your Name,2017,8.102,12494,3500000,43143046,398818,call me by your name,0,both,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1
Candyman,2021,6.0,1680,25000000,77411570,565028,candyman,0,left_only,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0
Captain America: Civil War,2016,7.448,23516,250000000,1155046416,271110,captain america: civil war,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Captain Fantastic,2016,7.891,6644,5000000,23123592,334533,captain fantastic,0,left_only,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Captain Marvel,2019,6.791,16352,152000000,1131416446,299537,captain marvel,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Carol,2015,7.495,3851,11800000,40272135,258480,carol,0,left_only,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
Carry-On,2024,6.888,2478,47000000,0,1005331,carry-on,0,left_only,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Cars 3,2017,6.9,6191,175000000,383925276,260514,cars 3,0,left_only,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
Central Intelligence,2016,6.417,6174,50000000,216972543,302699,central intelligence,0,left_only,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Challengers,2024,6.939,2427,55000000,94182533,937287,challengers,0,left_only,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
Chaos Walking,2021,6.562,2458,125000000,26508132,412656,chaos walking,0,left_only,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
Chappie,2015,6.784,8231,49000000,104399548,198184,chappie,0,left_only,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
